patent,prim,class,subclass
08342027,13," 73584",,
08342028,12," 73643",,
08342029,12," 73706",,
08342030,12," 73715",,
08342031,12," 73780",,
08342032,12," 73788",,
08342033,12," 73812",,
08342034,12," 73826",,
08342035,12," 73861355",,
08342036,12," 7386165",,
08342037,12," 73862045",,
08342038,13," 73862381",,
08342039,12," 7386255",,
08342040,12," 7386321",,
08342041,12," 7386321",,
08342042,12," 7386321",,
08342043,12," 7386323",,
08342044,12," 7386421",,
08342045,10," 738654",,
08342046,12," 738656",,
08342047,12," 74 102",,
08342048,12," 74330",,
08342049,12," 74330",,
08342050,12," 74330",,
08342051,12," 74331",,
08342052,12," 7447331",,
08342053,12," 7447336",,
08342054,12," 7449005",,
08342055,13," 7449009",,
08342056,11," 74493",,
08342057,12," 74493",,
08342058,11," 745744",,
08342059,12," 81 60",,
08342060,13," 811772",,
08342061,12," 8117785",,
08342062,12," 811779",,
08342063,12," 81179",,
08342064,12," 81179",,
08342065,12," 81439",,
08342066,12," 82  111",,
08342067,12," 83 74",,
08342068,12," 83469",,
08342069,12," 89  114",,
08342070,12," 89  1806",,
08342071,12," 89 142",,
08342072,13," 89 332",,
08342073,12," 89 3601",,
08342074,13," 89 3614",,
08342075,13," 8919101",,
08342076,12," 92 63",,
08342077,12," 92 76",,
08342078,12," 92 85R",,
08342079,12," 99286",,
08342080,12," 99328",,
08342081,12," 99426",,
08342082,12," 99450",,
08342083,12,"100 35",,
08342084,12,"100 35",,
08342085,10,100258A,,
08342086,12,10026914,,
08342087,13,"101 35",,
08342088,12,"101 41",,
08342089,12,1011271,,
08342090,12,101329,,
08342091,12,101335,,
08342092,12,101367,,
08342093,13,102237,,
08342094,12,102306,,
08342095,12,102333,,
08342096,12,102363,,
08342097,12,102501,,
08342098,11,102512,,
08342099,12,102513,,
08342100,13,102530,,
08342101,12,104124,,
08342102,13,1041723,,
08342103,13,"105 50",,
08342104,13,105355,,
08342105,12,1054061,,
08342106,13,"108 5725",,
08342107,13,108132,,
08342108,13,"111 69",,
08342109,12,111150,,
08342110,12,112231,,
08342111,12,112275,,
08342112,12,11247004,,
08342113,12,11247517,,
08342114,11,"114 561",,
08342115,12,11410221,,
08342116,13,11423026,,
08342117,12,"118 16",,
08342118,12,118114,,
08342119,11,118500,,
08342120,12,118620,,
08342121,12,118723E,,
08342122,12,118723E,,
08342123,12,"119 1402",,
08342124,12,"119 1402",,
08342125,12,"119 1447",,
08342126,12,"119 285",,
08342127,12,"119 523",,
08342128,12,"119 612",,
08342129,12,"119 615",,
08342130,12,119234,,
08342131,12,119436,,
08342132,11,119709,,
08342133,13,119709,,
08342134,11,119718,,
08342135,12,119721,,
08342136,11,119755,,
08342137,13,119792,,
08342138,13,119868,,
08342139,12,"122 192",,
08342140,13,"123  3",,
08342141,12,"123 411",,
08342142,12,"123 4112",,
08342143,12,"123 48R",,
08342144,12,"123 9011",,
08342145,11,"123 9048",,
08342146,12,"123 906",,
08342147,12,123143B,,
08342148,11,123336,,
08342149,12,123337,,
08342150,12,123350,,
08342151,12,123357,,
08342152,12,123403,,
08342153,12,123435,,
08342154,12,123468,,
08342155,12,123472,,
08342156,12,123508,,
08342157,12,123521,,
08342158,13,123525,,
08342159,12,123538,,
08342160,13,123572,,
08342161,12,"124 445",,
08342162,13,"124 78",,
08342163,12,"125 21",,
08342164,12,"125 3001",,
08342165,12,"126 21A",,
08342166,12,126541,,
08342167,12,126566,,
08342168,12,126640,,
08342169,12,126684,,
08342170,12,12820014,,
