"Application ID",Country,Classification,Info
29399187,US,"D 6383",
29399187,US,"D 6389",
29399187,US,"D 6393-395",unstructured
29399187,US,"D 6505-508",unstructured
29399187,US,"D 6503",
29399187,US,"  5 531",
29399187,US,"  52791",
29399187,US,"  5280",
29399187,US,"  5281",
29399187,US,"  5907",
29399187,US,D21520,
29411130,US,"D 6419-431",unstructured
29411130,US,"D 6445",
29411130,US,"D 6446",
29411130,US,"D 6397",
29411130,US,312194-196,unstructured
29411130,US,312198,
29411130,US,"312  6",
29411130,US,312262,
29411130,US,312122,
29411130,US,312294,
29411130,US,312237,
29411130,US,3122571,
29411130,US,"108 5001",
29411130,US,"108 5002",
29411130,US,"108 60",
29411130,US,"235 51",
29411130,US,"235 50 R",
29411130,US," 52 361",
29411130,US," 52 364",
29411130,US,160135,
29411716,US,"D 6419-428",unstructured
29411716,US,"D 6429-431",unstructured
29411716,US,"D 6445",
29411716,US,"D 6446",
29411716,US,"D 6397",
29411716,US,312194-196,unstructured
29411716,US,312198,
29411716,US,"312  6",
29411716,US,312262,
29411716,US,312122,
29411716,US,312294,
29411716,US,312237,
29411716,US,3122571,
29411716,US,"108 5001",
29411716,US,"108 5002",
29411716,US,"108 60",
29411716,US,"235 51",
29411716,US,"235 50 R",
29411716,US," 52 361",
29411716,US," 52 364",
29411716,US,160135,
29411754,US,"D 6419-428",unstructured
29411754,US,"D 6429-431",unstructured
29411754,US,"D 6445",
29411754,US,"D 6446",
29411754,US,"D 6397",
29411754,US,312194-196,unstructured
29411754,US,312198,
29411754,US,"312  6",
29411754,US,312262,
29411754,US,312122,
29411754,US,312294,
29411754,US,312237,
29411754,US,3122571,
29411754,US,"108 5001",
29411754,US,"108 5002",
29411754,US,"108 60",
29411754,US,"235 51",
29411754,US,"235 50 R",
29411754,US," 52 361",
29411754,US," 52 364",
29411754,US,160135,
29398121,US,"D 6396",
29398121,US,"D 6397",
29398121,US,"D 6449",
29398121,US,"D 6450",
29398121,US,"D 6454-469",unstructured
29398121,US,"211  1",
29398121,US,"211  4",
29398121,US,"211 10",
29398121,US,"211 131",
29398121,US,"211 40",
29398121,US,"211 491",
29398121,US,"211 50- 52",unstructured
29398121,US,"211 592",
29398121,US,"211 7101",
29398121,US,"211 72",
29398121,US,"211 79",
29398121,US,"211 8601",
