patent,asgseq,asgtype,assignee,City,State,Country,zip,generated_sort
D0673680,,02,"General Electric Company",Schenectady,NY,US,,1
D0673681,,02,"General Electric Company",Schenectady,NY,US,,1
D0673682,,02,"General Electric Company",Schenectady,NY,US,,1
D0673683,,02,"Thayer Intellectual Property, Inc.","San Francisco",CA,US,,1
D0673685,,02,"Vivant Medical, Inc.",Boulder,CO,US,,1
D0673686,,02,"Benchmark Brands, Inc.",Norcross,GA,US,,1
D0673687,,02,"Church & Dwight Co., Inc.",Princeton,NJ,US,,1
D0673688,,02,"Church & Dwight Co., Inc.",Princeton,NJ,US,,1
D0673689,,03,"GE Healthcare UK Limited","Little Chalfont",,GB,,1
D0673690,,02,"Neenah Foundry Company",Neenah,WI,US,,1
D0673693,,02,"Anchor Wall Systems, Inc.",Minnetonka,MN,US,,1
D0673694,,02,"Anchor Wall Systems, Inc.",Minnetonka,MN,US,,1
D0673695,,02,"Anchor Wall Systems, Inc.",Minnetonka,MN,US,,1
D0673697,,02,"Cree, Inc.",Durham,NC,US,,1
D0673698,,02,"Tadd, LLC","North Barrington",IL,US,,1
D0673699,,03,"Epistar Corporation",Hsinchu,,TW,,1
D0673700,,03,"Daimler AG",Stuttgart,,DE,,1
D0673701,,03,"Shin Chin Industrial Co., Ltd.",Tainan,,TW,,1
D0673702,,03,"Shin Chin Industrial Co., Ltd.",Tainan,,TW,,1
D0673703,,03,"Shin Chin Industrial Co., Ltd.",Tainan,,TW,,1
D0673704,,03,"Shin Chin Industrial Co., Ltd.",Tainan,,TW,,1
D0673708,,03,"Day Sun Industrial Corp.",Tainan,,TW,,1
D0673709,,02,"Streamlight, Inc.",Eagleville,PA,US,,1
D0673710,,02,"Streamlight, Inc.",Eagleville,PA,US,,1
D0673711,,02,"Cree, Inc.",Durham,NC,US,,1
D0673712,,02,"Infinilux, Inc.",Commerce,CA,US,,1
D0673713,,02,"Restoration Hardware, Inc.","Corte Madera",CA,US,,1
D0673714,,03,"Flos, S.p.A.",Brescia,,IT,,1
D0673715,,03,"Huangslite Industrial Co., Ltd.","New Taipei",,TW,,1
D0673716,,03,"Huangslite Industrial Co., Ltd.","New Taipei",,TW,,1
D0673717,,02,"Evolution Lighting, LLC","Miami Lakes",FL,US,,1
