patent,prim,class,subclass
RE043897,0,348,194,348194
RE043897,0,348,425.4,3484254
RE043897,0,348,464,348464
RE043897,0,348,495,348495
RE043897,0,375,145,375145
RE043897,0,375,149,375149
RE043897,0,375,240.28,37524028
RE043897,0,375,293,375293
RE043898,1,424,133.1,4241331
RE043898,0,530,387.1,5303871
RE043899,1,424,181.1,4241811
RE043899,0,530,391.9,5303919
RE043900,1,600,443,600443
RE043900,0,600,447,600447
RE043900,0,600,458,600458
RE043900,0,600,459,600459
RE043900,0,850," 10","850 10"
RE043900,0,850," 62","850 62"
RE043900,0,850," 63","850 63"
RE043900,0,128,916,128916
RE043901,1,606," 27","606 27"
RE043901,0,607," 89","607 89"
RE043901,0,607," 27","607 27"
RE043901,0,607," 96","607 96"
RE043901,0,607,115,607115
RE043901,0,600,407,600407
RE043901,0,600,437,600437
RE043901,0,128,898,128898
RE043901,0,604," 22","604 22"
RE043901,0,601,"  3","601  3"
RE043902,1,606,200,606200
RE043903,1,702,"  3","702  3"
RE043903,0,702,"  2","702  2"
RE043903,0,342," 26. R","342 26 R"
RE043904,1,705,"  2","705  2"
RE043904,0,709,200,709200
RE043904,0,235,380,235380
RE043904,0,705," 17","705 17"
RE043905,1,705," 39","705 39"
RE043905,0,707,790,707790
RE043905,0,707,791,707791
RE043905,0,707,792,707792
RE043905,0,707,796,707796
RE043905,0,707,999.106,707999106
RE043905,0,707,999.101,707999101
RE043905,0,707,999.104,707999104
RE043905,0,707,999.1,7079991
RE043905,0,705," 35","705 35"
RE043905,0,705," 40","705 40"
RE043905,0,705," 64","705 64"
RE043905,0,705,902,705902
RE043905,0,705,"  1.1","705  11"
RE043905,0,717,108,717108
RE043906,1,713,165,713165
RE043906,0,713,167,713167
RE043906,0,713,166,713166
RE043906,0,713,184,713184
RE043906,0,726," 21","726 21"
RE043906,0,726," 30","726 30"
RE043906,0,380," 45","380 45"
RE043907,1,714,746,714746
RE043907,0,714,751,714751
RE043907,0,714,752,714752
RE043907,0,714,776,714776
08341762,1,"  2","  2.5","  2  25"
08341762,0,"  2","  2.11","  2  211"
08341762,0,"  2","  2.14","  2  214"
08341762,0,"  2",102,"  2102"
08341763,1,"  2"," 21","  2 21"
08341763,0,"  2",160,"  2160"
08341763,0,"  2",161.1,"  21611"
08341763,0,"  2",163,"  2163"
08341764,1,"  2"," 22","  2 22"
08341765,1,"  2"," 67","  2 67"
08341765,0,482," 55","482 55"
08341766,1,"  2"," 97","  2 97"
